"","CrabNum","Island","KUD95Area","KUD50Area"
"1",1,"cooper",0.0220997789417724,0.00478872597127619
"2",2,"cooper",0.356031944552772,0.107470542339898
"3",3,"sand",0.00871025090955164,0.00169637036622739
"4",4,"sand",0.00647596660525073,0.00146448072567351
"5",6,"sand",0.0406645675403279,0.0130557955270008
"6",7,"sand",0.0258197297131311,0.00896809980114573
"7",8,"cooper",0.0697673223791542,0.013667263669348
"8",9,"cooper",0.00290443755370096,0.000527171881867052
"9",10,"cooper",0.0533983306072835,0.0114767068979484
"10",12,"eastern",0.0051025368593764,0.00130671076661727
"11",13,"eastern",0.00424961621732766,0.00072986055075118
"12",14,"eastern",0.00191026472606128,0.000340218313681631
"13",15,"eastern",0.00634059095849078,0.00134614601241235
"14",16,"cooper",0.0133178097278158,0.00271972375316952
"15",17,"eastern",0.00802499658057732,0.00194147521149785
"16",19,"eastern",0.00357067801595131,0.000806741232895638
"17",20,"sand",0.0173094751739232,0.00522791366231604
"18",21,"sand",0.00399457610882901,0.000887877801183458
"19",101,"cooper",0.0281083631979525,0.00527871255547524
"20",103,"cooper",0.244818850048904,0.0435735355478161
"21",106,"sand",0.00432631210947213,0.000797517155691167
"22",107,"sand",0.00286432292251817,0.000884383159726608
"23",108,"sand",0.00343643706582407,0.000846441361954034
"24",109,"cooper",0.177819662462856,0.043922462318813
"25",110,"cooper",0.0204279039998589,0.0025427546556725
"26",111,"sand",0.00361289745183413,0.00101143144242038
"27",112,"sand",0.00537117749787065,0.00114647346152715
"28",115,"sand",0.015960315138553,0.00308098353352305
"29",116,"sand",0.0224976172251839,0.00764713819192538
"30",117,"sand",0.0114754516155365,0.00221681120743247
"31",119,"cooper",0.0127686155596167,0.00349798429251472
"32",120,"sand",0.00463282212055982,0.00113499160322139
"33",121,"sand",0.00386576035995102,0.000646747892601666
"34",122,"sand",0.0124544625062282,0.00272902363290444
"35",123,"eastern",0.00510629330915476,0.00133966258832853
"36",124,"eastern",0.112837710880098,0.0625775401889578
"37",125,"eastern",0.101786274709154,0.0342555723912987
"38",126,"eastern",0.0252603794586372,0.0102664961003246
"39",127,"cooper",0.00520906485651852,0.00114694778889645
"40",128,"eastern",0.00328987972125301,0.00086839851629958
"41",129,"cooper",0.0102409101205359,0.00221277343660442
"42",130,"cooper",0.00302023921987953,0.000659710067207226
"43",131,"cooper",0.00645610326290915,0.00140978440028737
"44",132,"cooper",0.0197205042992717,0.00532612791808641
